what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1522158614784
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1522158614784
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1522158614784
os,sysinfo,,,"win32",1522158614784
arch,sysinfo,,,"x86",1522158614784
ws,sysinfo,,,"win32",1522158614784
locale,sysinfo,,,"pt_BR",1522158614784
processors,sysinfo,,,"4",1522158614784
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1522158614784
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1522158614784
java.specification.name,sysinfo,,,"Java Platform API Specification",1522158614784
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1522158614784
java.specification.version,sysinfo,,,"1.6",1522158614784
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1522158614784
java.version,sysinfo,,,"1.6.0_23",1522158614784
java.vm.info,sysinfo,,,"mixed mode",1522158614784
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1522158614784
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1522158614784
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1522158614784
java.vm.specification.version,sysinfo,,,"1.0",1522158614784
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1522158614784
java.vm.version,sysinfo,,,"19.0-b09",1522158614784
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522158615923
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522158615923
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1522158615938
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1522158619760
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1522158620665
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1522158620665
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1522158620805
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1522158620805
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1522158620805
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1522158620805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158620993
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1522158664392
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1522158664423
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1522158665125
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1522158665593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158669602
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1522158676950
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1522158676950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158678572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158686232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158686247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158689835
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1522158692534
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1522158692534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158694905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158696122
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1522158696387
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1522158696403
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522158697963
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1522158698384
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1522158698400
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Francisco/Desktop/DE2_70_QSYS/Eclipse/software/Teste/Teste.elf] return code: 4, 'other error'",1522158702536
error,log,,,"Downloading ELF Process failed",1522158702536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158702551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158704704
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522158707621
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522158708495
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Francisco/Desktop/DE2_70_QSYS/Eclipse/software/Teste/Teste.elf] return code: 4, 'other error'",1522158711976
error,log,,,"Downloading ELF Process failed",1522158711976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158711992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158713427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158715190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158737061
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522158739058
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522158741694
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1522158741694
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522158741788
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1522158742334
